name,lat,lng,region,grade,crag,lists,description,url
Blackden Brook (Kinder Northern Edges),53.40530,-1.86510,Derbyshire,Grade-1,Kinder Northern Edges,dark_peak,"Grade 1 scramble · 110m · Kinder Northern Edges

Route 24 in Cicerone Scrambles in the Dark Peak.",https://www.ukclimbing.com/logbook/crags/kinder_northern_edges-133/blackden_brook_summer-345440
Blackden Brook Left-hand (Kinder Northern Edges),53.40518,-1.86456,Derbyshire,Grade-1,Kinder Northern Edges,dark_peak,"Grade 1 scramble · Kinder Northern Edges

Branch on left closest to main stream. Route 24 Alt Finish 1 in Scrambles in the Dark Peak.",https://www.ukclimbing.com/logbook/crags/kinder_northern_edges-133/blackden_brook_left-hand_summer-349469
Chrome Hill Ridge,53.20280,-1.89590,Derbyshire,Grade-1,Chrome Hill,dark_peak,"Grade 1 scramble · 75m · Chrome Hill

Route 41 in scrambles in the dark peak (although technically not in the dark peak). Harder if started direct.",https://www.ukclimbing.com/logbook/crags/chrome_hill-16401/chrome_hill_ridge-333844
Coombes Clough (Millstone Buttress to Highstone Rocks),53.49360,-1.92330,Derbyshire,Grade-1,Millstone Buttress to Highstone Rocks,dark_peak,Grade 1 scramble · Millstone Buttress to Highstone Rocks · ★,https://www.ukclimbing.com/logbook/crags/millstone_buttress_to_highstone_rocks-10277/coombes_clough-252095
Crowden Clough (Kinder Southern Edges),53.38060,-1.83890,Derbyshire,Grade-1,Kinder Southern Edges,dark_peak,"Grade 1 scramble · Kinder Southern Edges · ★★

Walk up from Upper Booth, and up Crowden Clough onto Kinder Scout via the Crowden Clough waterfall.",https://www.ukclimbing.com/logbook/crags/kinder_southern_edges-940/crowden_clough_summer-177894
Deer Knowl,53.48470,-1.86230,Derbyshire,Grade-2,Deer Knowl,dark_peak,"Grade 2 scramble · 40m · Deer Knowl

The obvious light-coloured line towards the western end of the crag. Route 14 in Scrambles in the Dark Peak.",https://www.ukclimbing.com/logbook/crags/deer_knowl-931/deer_knowl_summer-349255
Downfall Climb (Kinder Downfall),53.39610,-1.87786,Derbyshire,M,Kinder Downfall,dark_peak,"Moderate (easy rock climb) · 60m · Kinder Downfall · ★★

Rockfax: An aquatic amble across the series of sloping ledges. It is great as a winter route (see page 179) and okay as a rock climb in the dry but way too exciting if there has been much rain. Start on the right and climb up the groove or the ledges just to its left. Then follow the ramps up and left, passing the main flow, to a choice of finishing grooves. If already well-soaked, it is probably worth exiting easily rightwards.",https://www.ukclimbing.com/logbook/crags/kinder_downfall-134/downfall_climb-19506
Elbow Ridge (Winnats Pass),53.34050,-1.79860,Derbyshire,D,Winnats Pass,dark_peak+ridges_ewi,"Difficult (easy rock climb) · Winnats Pass · ★

Alpine training starting from the road side. The ridge to the right of Matterhorn Ridge.",https://www.ukclimbing.com/logbook/crags/winnats_pass-1239/elbow_ridge-63867
Fair Brook (Kinder Northern Edges),53.40489,-1.86427,Derbyshire,Grade-1,Kinder Northern Edges,dark_peak,"Grade 1 scramble · 100m · Kinder Northern Edges

Found in the Cicerone Peak Scrambling Guide as Fairbrook. It is the main clough off which Fair Brook Gully goes. It provides pleasant easy scrambling with a couple of waterfall walls to give it its grade.",https://www.ukclimbing.com/logbook/crags/kinder_northern_edges-133/fair_brook_summer-313941
Fair Brook Gully (Kinder Northern Edges),53.40455,-1.86437,Derbyshire,Grade-1,Kinder Northern Edges,dark_peak,"Grade 1 scramble · Kinder Northern Edges · ★

Easy scrambling up Fair Brook Gully to reach the Kinder plateau. Route 26 in Scrambles in the Dark Peak.",https://www.ukclimbing.com/logbook/crags/kinder_northern_edges-133/fair_brook_gully_summer-291515
Far Upper Red Brook (Kinder Northern Edges),53.40518,-1.86564,Derbyshire,Grade-1,Kinder Northern Edges,dark_peak,Grade 1 scramble · Kinder Northern Edges,https://www.ukclimbing.com/logbook/crags/kinder_northern_edges-133/far_upper_red_brook_summer-349473
Grindsbrook Clough (Kinder Southern Edges),53.37985,-1.83817,Derbyshire,Grade-1,Kinder Southern Edges,dark_peak,"Grade 1 scramble · Kinder Southern Edges

Ascend the prominent right fork of the stream just before the path diverges left up a shallow gully. Easy gill scrambling with a few entertaining steps soon leads to the path between Hartshorn and Grindslow Knoll.",https://www.ukclimbing.com/logbook/crags/kinder_southern_edges-940/grindsbrook_clough_summer-79355
Lawrence Edge No 1 (Rollick Stones),53.48130,-1.87880,Derbyshire,Grade-1,Rollick Stones,dark_peak,Grade 1 scramble · 50m · Rollick Stones,https://www.ukclimbing.com/logbook/crags/rollick_stones-933/lawrence_edge_no_1_summer-349256
Lawrence Edge No 2 (Rollick Stones),53.48055,-1.87807,Derbyshire,Grade-1,Rollick Stones,dark_peak,Grade 1 scramble · 50m · Rollick Stones,https://www.ukclimbing.com/logbook/crags/rollick_stones-933/lawrence_edge_no_2_summer-327454
Matterhorn Ridge (Winnats Pass),53.33950,-1.79860,Derbyshire,VD,Winnats Pass,ridges_ewi,"Very Difficult (easy rock climb) · 65m · Winnats Pass · ★

The route is up the obvious left hand ridge.  Belay to suit (where gear allows).",https://www.ukclimbing.com/logbook/crags/winnats_pass-1239/matterhorn_ridge-36947
Nether Red Brook (Kinder Northern Edges),53.40433,-1.86481,Derbyshire,Grade-1,Kinder Northern Edges,dark_peak,"Grade 1 scramble · 140m · Kinder Northern Edges · ★

Two or three climbing pulls up the clough's very rocky bed make it as worthwhile as well known scrambles such as Wild Boar Clough on Bleaklow. Quite a lot of water coming down but do-able. Care on green bits required. Route 27 in Scrambles in the Dark Peak.",https://www.ukclimbing.com/logbook/crags/kinder_northern_edges-133/nether_red_brook_summer-297646
Nether Red Brook Alternative Finish 1 (Kinder Northern Edges),53.40433,-1.86539,Derbyshire,Grade-3,Kinder Northern Edges,dark_peak,"Grade 3 scramble · Kinder Northern Edges · ★

Variation on route 27 in Scrambles in the Dark Peak. The large block that forms much of the left wall of the chimney near the top is now extremely loose - beware!",https://www.ukclimbing.com/logbook/crags/kinder_northern_edges-133/nether_red_brook_alternative_finish_1_summer-347962
Nether Red Brook Alternative Finish 2 (Kinder Northern Edges),53.40455,-1.86583,Derbyshire,Grade-2,Kinder Northern Edges,dark_peak,"Grade 2 scramble · 50m · Kinder Northern Edges · ★

This is a distinct route from Nether Red Brook not just an alternative top out. Some startling rocks to climb under and over with an exciting cave exit for the slim at one point. Don't try this if you are on your own. If you got stuck you'd be a long time being found.

Possible to skirt some difficulties but never less than grade 1.",https://www.ukclimbing.com/logbook/crags/kinder_northern_edges-133/nether_red_brook_alternative_finish_2_summer-314114
Oaken Clough,53.50490,-1.91080,Derbyshire,Grade-2,Oaken Clough,dark_peak,"Grade 2 scramble · 75m · Oaken Clough · ★★

An excellent scramble up the gully. Best if you stick to the rock, you pass several pools and falls. There are a couple of steeper sections including a deviation though a chimmney under a chockstone.  It finishes at the top of the gully on the Penine way.

Difficulty can vary depending on the volume of water coming down the gully.",https://www.ukclimbing.com/logbook/crags/oaken_clough-19889/oaken_clough-290550
Parkhouse Hill Ridge,53.19960,-1.88230,Derbyshire,Grade-1,Parkhouse Hill,dark_peak,"Grade 1 scramble · 60m · Parkhouse Hill

Chrome Hill's sharper little sibling on the Dragon's Back — a short, steep Grade 1 over Parkhouse Hill's limestone teeth; often combined with Chrome Hill.",https://www.ukclimbing.com/logbook/crags/parkhouse_hill-16402/parkhouse_hill_ridge-333846
Red Brook (Kinder Downfall),53.39560,-1.87870,Derbyshire,Grade-1,Kinder Downfall,dark_peak,"Grade 1 scramble · Kinder Downfall · ★★

A Grade 1 scramble up Red Brook, cutting through Kinder's western edge above Hayfield — gritstone steps arriving on the plateau near Kinder Downfall.",https://www.ukclimbing.com/logbook/crags/kinder_downfall-134/red_brook_summer-349476
Ringing Roger (Kinder Southern Edges),53.37985,-1.83963,Derbyshire,Grade-1,Kinder Southern Edges,dark_peak,"Grade 1 scramble · Kinder Southern Edges

Route 36 in Scrambles in the Dark Peak. Follow your nose up the crest.",https://www.ukclimbing.com/logbook/crags/kinder_southern_edges-940/ringing_roger_summer-349477
Shining Clough,53.48480,-1.85350,Derbyshire,Grade-2,Shining Clough,dark_peak,Grade 2 scramble · 100m · Shining Clough · ★★,https://www.ukclimbing.com/logbook/crags/shining_clough-123/shining_clough_summer-345441
Square Chimney (Kinder Downfall),53.39610,-1.87954,Derbyshire,Grade-3,Kinder Downfall,dark_peak,Grade 3 scramble · Kinder Downfall,https://www.ukclimbing.com/logbook/crags/kinder_downfall-134/square_chimney_summer-432650
Torside Clough,53.47240,-1.90280,Derbyshire,Grade-1,Torside Clough,dark_peak,"Grade 1 scramble · Torside Clough · ★

A long Grade 1 clough scramble up Torside Clough onto Bleaklow — easy gritstone steps in an increasingly wild moorland ravine.",https://www.ukclimbing.com/logbook/crags/torside_clough-1204/torside_clough_summer-294693
Torside Gully (Torside Clough),53.47140,-1.90280,Derbyshire,Grade-1,Torside Clough,dark_peak,"Grade 1 scramble · Torside Clough · ★★

Route 19 in Scrambles in the Dark Peak. Gully between two largest buttresses.",https://www.ukclimbing.com/logbook/crags/torside_clough-1204/torside_gully_summer-349458
Upper Red Brook (Kinder Northern Edges),53.40489,-1.86593,Derbyshire,Grade-1,Kinder Northern Edges,dark_peak,"Grade 1 scramble · 90m · Kinder Northern Edges

About 600m west of Nether Red Brook. Follow the bed. Some impressive rocks to negotiate. Dry conditions will enable more sporting lines. In the Cicerone Guide Scrambles in the Dark Peak.",https://www.ukclimbing.com/logbook/crags/kinder_northern_edges-133/upper_red_brook_summer-313717
Wildboar Clough (Rollick Stones),53.48055,-1.87953,Derbyshire,Grade-2,Rollick Stones,dark_peak,"Grade 2 scramble · Rollick Stones · ★

The classic Bleaklow clough: Grade 2 waterfall steps up Wildboar Clough from Longdendale — the best-known scramble in the Dark Peak, sporting in wet conditions.",https://www.ukclimbing.com/logbook/crags/rollick_stones-933/wildboar_clough_summer-110146
Yellowslacks Brook,53.45860,-1.88730,Derbyshire,Grade-1,Yellowslacks,dark_peak,Grade 1 scramble · Yellowslacks,https://www.ukclimbing.com/logbook/crags/yellowslacks-3924/yellowslacks_brook_summer-349460
The Claw (The Exmoor Coast Traverse),51.24540,-3.78370,Devon,D,The Exmoor Coast Traverse,ridges_ewi,"Difficult (easy rock climb) · 236m · The Exmoor Coast Traverse

Notes:



It is worth taking an ice hammer, pegs and marquee stakes or similar ground anchors.  Trainers or boots for the upper section.  Gardening gloves are pretty much mandatory.



Approach:



Begin the approach approx 2 hours before low tide.



Walk to the beach at Heddon's Mouth, and cross the river.  There is currently (Sep 2016) a bar of stones across the river so you don't need to get wet feet here.  You may well do later though.



Ascend easy slabs at the far end of the beach (NOT the ones leading into the collapsing cliff), and either scramble or abseil down the corner to the right  onto the beach below.



Cross the huge block of Highveer Point via easy slabs on the landward side.



Now you need to cross about 650m of ""Bloody Beach"".  The Claw bounds the far end of the beach, and is immediately beyond the tall, thin, rectangular cut ""Hannington's Cave"".



1. Start on a large boulder.  Take a leftward rising traverse on slabby footholds with a horizontal break above for hands and protection.  Alternatively climb a steep corner to the right to a ledge and traverse left.  Continue along the platform and step across to ledges on the main ridge.  Belay below a steep crack.



2. Pull up a couple of steep moves on good holds, then step onto the crest.  Follow the blocky ridge on good rock for about 40m until you reach a grassy ledge.  Nut belay in friable rock.  If you are wearing climbing shoes then change now.



3. Climb 25m or so of lichen covered rock to belay on a grassy ledge under a small outcrop.



4. Pass the outcrop to the left, then swim up brambles for 10m and belay on a yew tree.



5. Follow the steep, vegetated ridge to the right of the tree for about 25m.  At this point you may choose either to continue up the ridge to a belay ahead (5a), or dive into the bramble filled gully described in the guidebook (5b) and try to find a tree belay.



6a-8a. Follow the ridge ahead, then keep going straight up.  Approximately 150m of steep heather, bracken and scree awaits.  No belays will be found but a bit of digging will get you to solid enough soil to place a ground anchor here and there.  Pass the outcrops to the right.  Tree belay on path.



6b. Climb up the corner behind the tree, then break out right and belay at the head of the gully (8m).



7b-8b. Head for the vague crest to the right of the gully, then climb up to find a belay at the square block 20m or so to the right of the outcrops described in (a).



9.  It aint over!  Keep wading until you hit the coast path.",https://www.ukclimbing.com/logbook/crags/the_exmoor_coast_traverse-1242/the_claw-430280
Birchen Clough (The Ravenstones),53.54030,-1.94600,Greater Manchester,Grade-1,The Ravenstones,dark_peak,"Grade 1 scramble · The Ravenstones

Part of Route 1 in Scrambles in the Dark Peak.",https://www.ukclimbing.com/logbook/crags/the_ravenstones-27300/birchen_clough_summer-349439
Charnel Clough (Dovestones Skyline),53.52450,-1.96100,Greater Manchester,Grade-1,Dovestones Skyline,dark_peak,Grade 1 scramble · 120m · Dovestones Skyline · ★,https://www.ukclimbing.com/logbook/crags/dovestones_skyline-8833/charnel_clough_summer-343034
Chew Brook (Wilderness Rocks),53.51125,-1.95913,Greater Manchester,Grade-1,Wilderness Rocks,dark_peak,Grade 1 scramble · 60m · Wilderness Rocks,https://www.ukclimbing.com/logbook/crags/wilderness_rocks-1335/chew_brook_summer-349451
Holme Clough (Standing Stones),53.54330,-1.94320,Greater Manchester,Grade-1,Standing Stones,dark_peak,"Grade 1 scramble · Standing Stones

Last part of Route 1 in Scrambles in the Dark Peak.",https://www.ukclimbing.com/logbook/crags/standing_stones-135/holme_clough-349437
Rimmon Pit Clough (Standing Stones),53.54430,-1.94320,Greater Manchester,Grade-1,Standing Stones,dark_peak,"Grade 1 scramble · Standing Stones

First part of Route 1 in Scrambles in the Dark Peak.",https://www.ukclimbing.com/logbook/crags/standing_stones-135/rimmon_pit_clough-349435
Scramble Option 1 (Alderman Rocks),53.53850,-1.97810,Greater Manchester,Grade-3,Alderman Rocks,dark_peak,"Grade 3 scramble · Alderman Rocks · ★★

Route 2, Option 1 in Scrambles in the Dark Peak.",https://www.ukclimbing.com/logbook/crags/alderman_rocks-1280/scramble_option_1-349441
Scramble Option 2 (Alderman Rocks),53.53775,-1.97737,Greater Manchester,Grade-3,Alderman Rocks,dark_peak,"Grade 3 scramble · Alderman Rocks · ★

Route 2, Option 2 in Scrambles in the Dark Peak.",https://www.ukclimbing.com/logbook/crags/alderman_rocks-1280/scramble_option_2-349442
Scramble Option 3 (Alderman Rocks),53.53775,-1.97883,Greater Manchester,Grade-2,Alderman Rocks,dark_peak,"Grade 2 scramble · Alderman Rocks · ★

Route 2, Option 3 in Scrambles in the Dark Peak.",https://www.ukclimbing.com/logbook/crags/alderman_rocks-1280/scramble_option_3-349443
Trinnacle Chimney (The Ravenstones),53.53930,-1.94600,Greater Manchester,M,The Ravenstones,dark_peak,"Moderate (easy rock climb) · 10m · The Ravenstones · ★

Rockfax: The widening rift that splits the towers is a good easy offering and bags a summit or two along the way.",https://www.ukclimbing.com/logbook/crags/the_ravenstones-27300/trinnacle_chimney-16610
Wilderness Gully East (Wilderness Rocks),53.51125,-1.95767,Greater Manchester,M,Wilderness Rocks,dark_peak,"Moderate (easy rock climb) · 150m · Wilderness Rocks · ★★

Rockfax: An excellent scramble (really quite easy for a Mod). It provides a good winter route under the right conditions though care is required as there have been avalanches here.",https://www.ukclimbing.com/logbook/crags/wilderness_rocks-1335/wilderness_gully_east_summer-18853
Wilderness Gully Far East (Wilderness Rocks),53.51075,-1.95767,Greater Manchester,Grade-1,Wilderness Rocks,dark_peak,Grade 1 scramble · 75m · Wilderness Rocks,https://www.ukclimbing.com/logbook/crags/wilderness_rocks-1335/wilderness_gully_far_east_summer-349445
Wilderness Gully Far Far East (Wilderness Rocks),53.51050,-1.95840,Greater Manchester,Grade-1,Wilderness Rocks,dark_peak,Grade 1 scramble · 60m · Wilderness Rocks,https://www.ukclimbing.com/logbook/crags/wilderness_rocks-1335/wilderness_gully_far_far_east_summer-349447
Wilderness Gully Far Far Far East (Wilderness Rocks),53.51075,-1.95913,Greater Manchester,Grade-1,Wilderness Rocks,dark_peak,Grade 1 scramble · 45m · Wilderness Rocks,https://www.ukclimbing.com/logbook/crags/wilderness_rocks-1335/wilderness_gully_far_far_far_east_summer-349449
Wilderness Gully West (Wilderness Rocks),53.51150,-1.95840,Greater Manchester,Grade-1,Wilderness Rocks,dark_peak,Grade 1 scramble · 130m · Wilderness Rocks · ★,https://www.ukclimbing.com/logbook/crags/wilderness_rocks-1335/wilderness_gully_west_summer-212906
Amphitheatre Buttress (Craig Yr Ysfa),53.15440,-3.95440,Gwynedd,VD,Craig Yr Ysfa,ridges_ewi,"Very Difficult (easy rock climb) · Craig Yr Ysfa · ★★★

Rockfax: A long mountain adventure. Never desperate, with stunning views and varied climbing. The route involves some easy scrambling in the mid-section and isn't sustained, but the short tricky sections are interesting and the entire route is over 300m in length. A huge gully drops away beneath Pinnacle Wall. Start 15m above the toe of the buttress that forms the left side of this. The route is described in sections rather than individual pitches.
1) 130m. Pleasant, pocketed slab climbing leads to a ledge at 30m. More slabs lead to a tricky groove, above which more easy slab climbing leads onto a large ledge beneath a steep wall. 
2) 22m. On the right is the crux groove. A polished corner leads to a large detached block. Continue past this to gain easier ground.
3) 75m. Scramble along paths and vegetated ground to reach the crested ridge.
4) 35m. Traverse the apex of the alpine-esque ridge passing two prominent gendarmes.
5) 60m. Follow the ridge on the right to gain the summit.",https://www.ukclimbing.com/logbook/crags/craig_yr_ysfa-530/amphitheatre_buttress-29162
Atlantic Slab (Carnedd Y Filiast),53.14470,-4.05870,Gwynedd,Grade-3,Carnedd Y Filiast (Cairn of the Greyhound Bitch),british_3_star+ew_classics,"Grade 3 scramble · 240m · Carnedd Y Filiast (Cairn of the Greyhound Bitch) · ★★★

Rockfax: An amazing route with some stunning rock formations. The coarse rock offers great friction. The climbing is relatively straightforward but the route is very exposed and sustained with few large ledges. A rope is advised. Start by the parking spot near the hostel.
Getting to the start - Walk north a short distance and cross a stile on the left to a short boggy section leading to a drystone wall. Follow the right side of the wall - steep at first - until it arrives at some large blocks, one of which is part of the drystone wall, just below the Atlantic Slab. A line of scree leads diagonally up the hillside to base of the route. Make your way up this and the heather to the start of the slabby ridge that marks the right-hand end of the leftmost slab.
1) From its lowest point follow the right-hand edge of the slab. It is best to stay close to the rib for the best exposure and rock. The higher you get the more exposed it becomes. 
2) Eventually the ridge peters out just before the summit ridge. The summit of Carnedd y Filiast is a few minutes' walk away to the left.",https://www.ukclimbing.com/logbook/crags/carnedd_y_filiast_cairn_of_the_greyhound_bitch-499/atlantic_slab-83186
Bastow Buttress Variant (Tryfan),53.11550,-3.99760,Gwynedd,Grade-3,Tryfan,british_3_star,"Grade 3 scramble · Tryfan · ★★★

Rockfax: This is the first scramble you reach on Heather Terrace. It is shorter than others but just as rewarding. It ends short of the summit but can easily be linked into The North Ridge of Tryfan or Notch Arete. Follow Heather Terrace to below Bastow Gully. 
1) Go up Bastow Gully until you can gain and follow the break that leads up and right past an awkward chockstone. Beyond this you reach the rib. 
2) Pass the rib and continue on right to gain the higher of two breaks which leads to a heathery ledge on the crest of the ridge. A small step leads past some blocks on another ledge.
3) Above this, more heather bashing up the side of Bastow Gully leads up to a steepening below the upper ridge. 
4) The left-hand arete is hard, the central heathery groove is too easy but the right-hand rib proves just right. Gain this via a diagonal break to the edge of the rib and ascend the rib, mainly on its left side, to where it rounds off.
5) Head left across more heather to regain the main left-hand rib and climb this overlooking Bastow Gully. If the difficulties prove too much, an easier line can be found to the right.
6) At the top you join The North Ridge of Tryfan which can be used for a continuation or descent.",https://www.ukclimbing.com/logbook/crags/tryfan-491/bastow_buttress_variant-65208
Bristly Ridge (Glyder Fach),53.10530,-4.00840,Gwynedd,Grade-2,Glyder Fach,british_3_star+ew_classics,"Grade 2 scramble · Glyder Fach · ★★★

Rockfax: This classic outing has some great scrambling and is usually climbed in combination with something else. 
Getting to the start - Most start up The North Ridge of Tryfan and down The South Ridge of Tryfan to reach Bwlch Tryfan. You can also make a more leisurely approach up Cwm Tryfan, Heather Terrace or up past Cwm Bochlwyd to reach the same point without any other scrambling. From Bwlch Tryfan, go up a path on the western side that zig-zags up to the base of the buttresses at the start of Bristly Ridge.
1) Just in from the drystone wall is a line of weakness that leads up and right below the base of two gullies. Move back left and climb the left-hand gully which has some sustained sections - this is known as Sinister Gully. The right-hand gully is the harder and looser Dexter Gully and is best avoided.
2) Just before the end of initial buttress, make a tricky move up and left out of the gully to the edge and go up to the top of the buttress. A harder direct option can be taken here.
3) Easy scrambling leads up the more-defined ridge to the first of several pinnacles (the 'Bristles' in the name) which is passed on its right.
4) Continue up the ridge which is straightforward until the larger more dominating pinnacles. 
5) Negotiating these pinnacles provides several interesting sections. At the first, go up and over the pinnacle near its left-hand side as you approach. This leads to an exposed gangway down to Great Pinnacle Gap.
6) The second pinnacle, known as Great Pinnacle, is passed more easily on its right-hand side to another col.
7) From the col, tackle the final steep section of ridge up to the summit plateau of Glyder Fach and a junction with the Eastern Gully of Glyder Fach.
8) Walk up to the summit from here. When you are just past a jumble of large boulders, look back to see the infamous Cantilever Stone.
Descent - Either head down the East Ridge of Glyder Fach or go over the summit and descend y Gribin. Or link-up with other scrambles like Senior's Ridge.",https://www.ukclimbing.com/logbook/crags/glyder_fach-494/bristly_ridge-50994
Bryant's Gully (Glyder Fawr),53.10340,-4.02800,Gwynedd,Grade-2,Glyder Fawr,british_3_star+ew_classics,"Grade 2 scramble · Glyder Fawr · ★★★

Can be more of a waterfall... good fun !

Rockfax: One of the better hard scrambles in this book, with sustained climbing from the start of the gully to the top. Much of the scrambling is within the confines of the gully. It is best enjoyed on a hot dry day as, although south facing, the confines of the gully provide much shade throughout. The rock is often slippy and requires concentration and care not to slip, but it does dry enough to be climbable after a couple of dry days. Take care if there are others on this route since there is a danger of dislodging loose rocks. Park at the small second lay-by on the right of Llanberis Pass. Take the leftward-rising path to the base of a cliff (Carreg Wastad). Just before a small buttress on the path, head straight up towards the base of the gully.
1) Go up a few steps to reach some trees. Continue to an impasse at a smooth moss-covered slab below a chockstone (worth 3+ if climbed direct). 6m below this, a short diversion left out of the gully leads around and back into the gully above.
2) Continue up some steps, passing a few jammed blocks, before a jammed boulder blocks the way again. Climb this on its left on steep juggy holds before a final challenging step leads to a change in angle of the gully.
3) Continue on up to where the walls start to move in again. A tricky step past a jammed boulder leads to an seemingly inescapable alcove.
4) The wall on the right is the only way out and it is scary in the wet. Start a few metres from the back of the alcove and head up and right on small but positive holds to reach a second alcove below some rock columns. 
5) From the second alcove, climb the watercourse to a third alcove. Exit this one up some dark fragile conglomerate rock on the right, 8m out from the back of the bay. 
6) The gully now curves to the right and the rock around you is spectacular and best appreciated from above. Where a rib divides the gully, take the right-hand one to reach a broad gully with orange scree at its base. Care is needed here to avoid knocking rocks down the confines of the gully, so avoid the base of the gully by going up the ribs on its left or right.
7) When the gully peters out, go up to a grassy area - the views from here are incredible. Directly above the gully is the start of a small ridge. Follow this up and then back left to the base of a small cliff. Just to the right of the cliff is a scree-filled gully. Climb this with care to reach the grassy summit of Esgair Felen.",https://www.ukclimbing.com/logbook/crags/glyder_fawr_gwynedd-497/bryants_gully-51042
Central Arête (Glyder Fawr),53.10240,-4.02800,Gwynedd,VD,Glyder Fawr,ridges_ewi,"Very Difficult (easy rock climb) · 200m · Glyder Fawr · ★★

A long, easy VDiff arete up Glyder Fawr's upper cliff above Cwm Cneifion — alpine in feel, usually combined with Cneifion Arete below.",https://www.ukclimbing.com/logbook/crags/glyder_fawr_gwynedd-497/central_arete-34092
Clogwyn y Person Arete (Clogwyn y Ddysgl),53.07800,-4.06780,Gwynedd,Grade-3,Clogwyn y Ddysgl,british_3_star+ew_classics+ridges_ewi,"Grade 3 scramble · Clogwyn y Ddysgl · ★★★

Approach by walking and scrambling up the path from the open wooden bridge crossing the river by the A4086 about a mile up from Gwastadnant.This is the downstream of two neighbouring bridges.Following the path up into Cwm Glas, past the imposing crag of Cyrn Las with the excellent Main Wall climb brings you up to the right of the arête as seen in the photo. The normal grade two route follows the right wall of the gully on the right hand side of the arête pleasantly and with some interest up to the obvious jammed boulder, which can be seen from afar.From here one can forge ahead straight up until the first barrier.A well worn rightwards traverses lead to suitable weaknesses in the defences. The crux is easy to recognise when you find it - a shallow chimney that seems to offer little for the feet. Jugs above, judicially applied pressure with the possible assistance of a toe jam on the right will overcome this without great difficulty. Above this point, the main difficulties are over, unless you take another traverse to the right and find yourself faced with an awkward mantelshelf onto a restricted platform - easier without a rucksack. Eventually, easy ground leads up to join with the main Crib y Ddysgl ridge, from where a circuit of Cwm Glass is possible to the right or a traverse of Crib Goch and descent of its North Ridge is possible. If the latter is taken, take the scree to the left before reaching the end of the ridge - easily previewed from the Clogwyn Y Person Arête during the ascent on a nice day.This is an excellent route mostly on clean rock, with interesting route finding.

Rockfax: This amazing route is a must for the avid mountaineer and is one of the finest grade 3 scrambles in Snowdonia. In combination with reversing Crib Goch and the North Ridge of Crib Goch it is even better. It is sustained and exposed and will challenge your route finding skills.
1) Ascend the gully to gain some ledges on the right wall. Climb past one tricky step, past a wide crack to reach an exposed ledge below a narrow groove. Go up this on jugs to the grassy ledge and move left to below another rock step.
2) Go directly up to reach a much larger grassy ledge. Carry on straight up almost on the crest of the nose to reach another more rocky ledge below an impasse. 
3) Traverse right around the ridge to reach a gully some 10m to the right. The top of this gully leads to another impasse which is passed on the right via a technically demanding groove.
4) At the top of the groove, the ridge eases off. Make your way through a jumble of boulders, spikes and craglets to reach another easing in angle below one last short step in a tight V-groove. This is climbed just to the right via a crack on the right wall.
5) From here the rest is steady and you can stick as close to the crest as you wish. After 300m you reach the junction with Crib Goch and Crib y Ddysgl, just above the knife-edge section on Crib y Ddysgl, at a large round cairn.
Descent - The easiest descent is to turn left and head to Bwlch Coch and head down the gully back into Cwm Uchaf back to the start of the route (overview p.104). However, you can also head over Crib Goch and down the North Ridge of Crib Goch (p.101) to achieve an amazing horseshoe. Finally you can turn right and head over Garnedd Ugain and on to Snowdon's summit or down the Gryn Las Ridge.",https://www.ukclimbing.com/logbook/crags/clogwyn_y_ddysgl-696/clogwyn_y_person_arete-52402
Cneifion Arete (Cwm Cneifion),53.10750,-4.01940,Gwynedd,D,Cwm Cneifion,british_3_star+ew_classics+ridges_ewi,"Difficult (easy rock climb) · 140m · Cwm Cneifion · ★★★

D/SG3. A steep, juggy pitch of moderate climbing and an awkward chimney lead to a superb grade three ridge scramble.  Alpine in character, this route could only be improved if it was longer.

Rockfax: One of the most sought-after routes in the area. Despite the 'Diff' climbing grade, it is also regarded as a classic Grade 3 scramble. All the difficulty is in the first pitch after which much easier scrambling leads up the crest of an exposed rocky ridge. The upper arete gives the route a real alpine feel. Start on the left side of Cwm Cneifion. 
1) Start on the left side of the buttress and climb up steeply on reasonable holds to reach a belay on a small ledge - tricky, but it all gets easier above this.
2) Go up and left to gain a small gully and follow it up and right to the start of the arete proper. Revel in the exposure and delightful climbing all the way to the top. Finish on the 'football pitch' below y Gribin. Pitches not marked.
Descent - Descend from the top right-hand corner of the 'football pitch' back down into Cwm Cneifion. Alternatively, continue up y Gribin and descend via Senior's Ridge or down through The Devil's Kitchen having summitted Glyder Fawr.",https://www.ukclimbing.com/logbook/crags/cwm_cneifion-2157/cneifion_arete-33981
Crib Goch - Crib Y Ddysgl Traverse,53.07600,-4.05407,Gwynedd,Grade-1,Crib Goch,ew_classics,"Grade 1 scramble · Crib Goch · ★★

The knife-edge crest of Crib Goch and its pinnacles continued along to Crib y Ddysgl — the first, most serious half of the Snowdon Horseshoe taken on its own.",https://www.ukclimbing.com/logbook/crags/crib_goch-2032/crib_goch_-_crib_y_ddysgl_traverse_summer-58461
